number,link,Message,Subject Line,characters_count,and_or,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_obj_conn,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,removed_lines,label,not_sure,
171,https://github.com/bitronix/btm/commit/a827676127f5b92db15b5fac35da0cd2c7190da3,improved main,improved main,13,1,1,0,1,0,1,0,1,1,0,1,-1,1,1,9,0,neutral,,
172,https://github.com/bitronix/btm/commit/2fe626c3ddf1dab0e5010aa2ce6d7984bb4e9467,improved management interface,improved management interface,29,1,1,0,1,0,1,0,1,0,0,-1,-1,-1,-1,7,0,bad,,
173,https://github.com/bitronix/btm/commit/4e13e228b6fa4603016fbada7e06a5847c78901f,simplified shutdown method,simplified shutdown method,26,1,1,0,1,0,1,0,1,2,0,0.5,-1,1,-1,27,23,neutral,,
174,https://github.com/bitronix/btm/commit/1ddbb260779595294717b79a1b6f4b71e8b9e273,removed usage of deprecated methods,removed usage of deprecated methods,35,1,1,0,1,0,1,0,5,9,0,0,-1,1,0.29,30,16,bad,,
175,https://github.com/bitronix/btm/commit/d86b0a69795c2b269c2ed09cc8bf159b329f6da1,improved javadoc,improved javadoc,16,1,1,0,1,0,1,1,3,0,0,-1,-1,-1,-1,9,6,neutral,,
176,https://github.com/bitronix/btm/commit/4bdb3cfb09b1aec196e9f8cd78a1c0e93aef3f4d,changed warnings into debug logs for calls to cancelXXX() where there is no task to be cancelled,changed warnings into debug logs for calls to cancelXXX() where there is no task to be cancelled,96,1,1,0,1,0,0,1,1,3,0,0,-1,-1,-1,3,3,bad,,
177,https://github.com/bitronix/btm/commit/eddc77062dab5fc8cf33c62dbac0339755c1b280,allowed disabling registration of the shutdown hook,allowed disabling registration of the shutdown hook,51,1,1,0,1,0,1,1,1,1,0,0,-1,-1,-1,7,1,neutral,,
178,https://github.com/bitronix/btm/commit/ae924828b19ca3e606be27a697fe1311898d1124,moved head to 1.1,moved head to 1.1,17,1,1,0,1,0,1,0,2,0,0,-1,-1,-1,-1,31,2,bad,,
179,https://github.com/bitronix/btm/commit/a4de059e58b5e4794e9baa52a01c3abbc28eb2fe,"added test for toString() method, will also be useful to catch some PropertyUtils bugs.","added test for toString() method, will also be useful to catch some PropertyUtils bugs.",87,1,1,0,0,0,0,1,1,1,0,0,1,1,1,5,0,bad,,
180,https://github.com/bitronix/btm/commit/0323cb1d98ae9ee3dc53c28e810f3f49f8d2694b,fixed toString test,fixed toString test,19,1,1,0,1,0,1,1,2,1,0,0,1,1,1,13,3,neutral,,
181,https://github.com/bitronix/btm/commit/6e82993f77fa836d58f38a800ce4fe0f76cd1941,fixed bug BTM-2 - recovery failures are now properly reported,fixed bug BTM-2 - recovery failures are now properly reported,61,1,1,0,1,0,1,1,3,10,0,0,1,-1,1,33,28,bad,,
182,https://github.com/bitronix/btm/commit/bde24b1f97f2be7b395aee20371ddf17b9baee17,disallowed savepoint related methods in Global TX mode as per JDBC3 spec,disallowed savepoint related methods in Global TX mode as per JDBC3 spec,72,1,1,0,1,0,1,1,1,6,0,0,1,1,1,27,15,neutral,,
183,https://github.com/bitronix/btm/commit/79aa4a5aa857abe40b015b0ce35e799fbaaba4ce,improved javadoc,improved javadoc,16,1,1,0,1,0,1,1,7,0,0,-1,-1,-1,-1,20,19,neutral,,
184,https://github.com/bitronix/btm/commit/98b5e7a53e64fc31b2684c14523007d0c5acd514,fixed bug that connection could still be used after being closed,fixed bug that connection could still be used after being closed,64,1,1,0,1,0,1,1,1,40,0,0,1,1,1,51,43,bad,1,
185,https://github.com/bitronix/btm/commit/a549d99d100fca7d1131db53f60e60ce02c5e6a9,added autocommit reset code,added autocommit reset code,27,1,1,0,1,0,1,1,1,1,0,0,-1,-1,-1,9,0,good,,
186,https://github.com/bitronix/btm/commit/acc8ddb7d6a03a101678406f20e34354b6623a9e,added public method to get wrapped connection,added public method to get wrapped connection,45,1,1,0,1,0,1,1,1,39,0,0,1,1,1,44,41,good,,
187,https://github.com/bitronix/btm/commit/645b8a4b4df05ba31dfae0256646d2369e2949ef,fix for BTM-6: Support for JMS credentials,fix for BTM-6: Support for JMS credentials,42,1,1,1,1,1,1,0,2,6,0,0,1,1,0.29,33,7,neutral,,
188,https://github.com/bitronix/btm/commit/a034958f6d75a082c29f811cda23040ded2d2fea,upgraded slf4j to latest version,upgraded slf4j to latest version,32,1,1,0,1,0,1,1,5,0,0,-1,-1,-1,-1,0,0,good,,
189,https://github.com/bitronix/btm/commit/2e23e580b4643f2f9f8dd43faa18c74c4226b722,Fixed BTM-5: implemented pooling of prepared statements / statement cache,Fixed BTM-5: implemented pooling of prepared statements / statement cache,73,1,1,0,1,0,0,1,10,44,0,0,1,0.93,1,567,141,bad,,
190,https://github.com/bitronix/btm/commit/4bd770180b548b3c44e8c713fdb1b67f7362525d,removed keepConnectionOpenUntilAfter2Pc references,removed keepConnectionOpenUntilAfter2Pc references,50,1,1,0,1,0,1,1,2,2,0,0,-1,-1,-1,1,5,good,,
191,https://github.com/bitronix/btm/commit/9ef29891d51c98f5142545e56080e69fa47f6407,added 1.2 release notes,added 1.2 release notes,23,1,1,0,1,0,1,1,2,0,0,-1,-1,-1,-1,27,1,good,,
192,https://github.com/bitronix/btm/commit/3f829149afe475bdb96acab4ceaeb333ed3b7f53,upgraded project files for 1.2,upgraded project files for 1.2,30,1,1,0,1,0,1,0,3,0,0,-1,-1,-1,-1,1528,1353,bad,,
193,https://github.com/bitronix/btm/commit/5f1ca4549fec182d98757cc86211333b9d92db78,fixed bug BTM-7: encrypted password now properly decrypted both in ResourceLoader and API cases,fixed bug BTM-7: encrypted password now properly decrypted both in ResourceLoader and API cases,95,0,1,0,1,0,0,1,4,6,0,0,0.22,1,1,79,24,bad,,
194,https://github.com/bitronix/btm/commit/34001fe5b17514bcdd6d191adc3627b9d802da3e,Fixed lock semantics difference between win32 and unix that allowed the log files to be overwritten on unix,Fixed lock semantics difference between win32 and unix that allowed the log files to be overwritten on unix,107,0,1,1,1,0,0,1,1,1,0,0,1,1,1,2,0,bad,,
195,https://github.com/bitronix/btm/commit/6ffa741a89ec858eb17fcae7a13a88054036c4f5,removed shutdown hook,removed shutdown hook,21,1,1,0,1,0,1,1,1,2,0,0,-1,-1,-1,4,20,good,,
196,https://github.com/bitronix/btm/commit/997b6c70e3d5a12871c8cc95a105ff2b7cca23de,"fixed BTM-8 - Durable subscribers cannot participate in XA

createDurableSubscriber now enlists resource in the transaction using proper producer/consumer caching scheme",fixed BTM-8 - Durable subscribers cannot participate in XA,58,1,1,0,1,0,0,1,4,6,0,0.33,1,0.58,0.17,72,14,neutral,,
197,https://github.com/bitronix/btm/commit/d4fd329949a6af37bf9a845dc8fa6695e6f327db,fixed BTM-9 - reference created by getReference() throws NPE on toString(),fixed BTM-9 - reference created by getReference() throws NPE on toString(),74,1,1,0,1,0,0,1,1,1,0,1,-1,-1,-1,2,4,bad,,
198,https://github.com/bitronix/btm/commit/d5a34ad5179df58fef6f6d52b6a17f249f991d23,moved non-XA classes to another package,moved non-XA classes to another package,39,1,1,0,1,0,1,1,55,0,0,-1,-1,-1,-1,92,66,bad,,
199,https://github.com/bitronix/btm/commit/689da0830325c9fb9fa2e8c1671e3a11ef9a6fec,added backward compatibility class,added backward compatibility class,34,1,1,0,1,0,1,1,2,0,0,-1,1,1,1,24,0,good,,
200,https://github.com/bitronix/btm/commit/04a5b2d2046f65691dc4dcf5cf293eeb6caf6852,minor code cleanup,minor code cleanup,18,1,1,0,1,1,1,0,1,2,0,0,-1,-1,-1,5,8,neutral,,
201,https://github.com/EdwardRaff/JSAT/commit/41ba764e99baff1b19d64b3e3cbe62496e5e6b2e,"Initial Import into repository

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@2 c8979423-a768-6f17-17f2-fb57d64bf5d2",Initial Import into repository,30,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,good,,
202,https://github.com/EdwardRaff/JSAT/commit/784040182a782ad02458fa30cd61c06731c7fcb0,"Initial Import into repository

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@3 c8979423-a768-6f17-17f2-fb57d64bf5d2",Initial Import into repository,30,1,1,1,1,1,0,0,24,0,0,-1,0.59,0.81,0.9,2892,0,bad,,
203,https://github.com/EdwardRaff/JSAT/commit/9e35a0a0322b08c903c4031dd664dfaef4fc5207,"Added Scatter Plot Matrix
Added setPadding for Graph2D
	Graph2D wont draw axies if the padding is zero

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@4 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Scatter Plot Matrix,25,1,0,1,1,0,0,1,4,4,0,0.25,0.2,0.4,1,103,0,neutral,,
204,https://github.com/EdwardRaff/JSAT/commit/4b94d6a1a6f9b54dbf0c154326a9e8d051f1c5ce,"Added Histogram

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@5 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Histogram,15,1,1,1,1,0,0,1,3,3,0,0,0.54,1,0.66,124,1,neutral,,
205,https://github.com/EdwardRaff/JSAT/commit/9615a97370d02d81425f27ba3dfc0979b0fc4e27,"Created better Single Variable statistics window

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@6 c8979423-a768-6f17-17f2-fb57d64bf5d2",Created better Single Variable statistics window,48,1,1,1,1,0,0,1,3,2,0,0,-1,1,1,92,12,neutral,,
206,https://github.com/EdwardRaff/JSAT/commit/4024076b4dc6eb7bbe3981cdf91b87be0972c223,"Updated Countinous Distribution to be able to return the current parameters values
Updated countinous distribution to set parameters based off of given data
Updated Distritbuion selection and QQPlotDist menu item to make use of these two new features

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@7 c8979423-a768-6f17-17f2-fb57d64bf5d2",Updated Countinous Distribution to be able to return the current parameters values,82,1,0,1,1,0,0,1,5,7,0,0,0.9,0.9,1,54,9,bad,,
207,https://github.com/EdwardRaff/JSAT/commit/43c2950ea74078e564250af0b62ddf82cfee7bfc,"Added grey out of menu items (when no data set made)
Also made a quit drop down (Ctrl+q)

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@8 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added grey out of menu items (when no data set made),52,1,0,1,1,0,0,1,2,4,0,0,-1,1,0.38,24,13,good,,
208,https://github.com/EdwardRaff/JSAT/commit/51ae483f75606e59d0c5b03b5139e9252c287cbd,"Added example data files that can be used to test against

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@9 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added example data files that can be used to test against,57,1,1,1,1,0,0,1,0,0,-1,-1,-1,-1,-1,0,0,neutral,,
209,https://github.com/EdwardRaff/JSAT/commit/bb338e579f351e015fe0b8f4a99c46aa3fcd442d,"made file parsing slightly faster

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@10 c8979423-a768-6f17-17f2-fb57d64bf5d2",made file parsing slightly faster,33,1,1,0,1,0,0,0,1,1,0,0,-1,-1,-1,2,2,bad,,
210,https://github.com/EdwardRaff/JSAT/commit/08a589751a54e8c68d5283160c136c65f8f346b5,"Added ability to maximize by switching from JDialog to JFrame

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@11 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added ability to maximize by switching from JDialog to JFrame,61,1,1,1,1,0,0,1,1,1,0,0,-1,-1,-1,4,3,neutral,,
211,https://github.com/EdwardRaff/JSAT/commit/a26e636968738e90cf4a4a6cb4ec003b6f769c52,"Added Linear Regression (implementatino & GUI )
	Modified Scatter Plot to support drawing a regression function

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@12 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Linear Regression (implementatino & GUI ),47,1,0,1,1,0,0,1,6,6,0,0,0.47,1,1,155,5,neutral,,
212,https://github.com/EdwardRaff/JSAT/commit/3d4268ebe17aff6bb084da5322c834bfc6cc0d70,"Added the Beta function to SpecialMath

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@13 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added the Beta function to SpecialMath,38,1,1,1,1,0,0,1,1,1,0,0,1,1,1,25,0,good,,
213,https://github.com/EdwardRaff/JSAT/commit/7026e2beca147f6ad6766480fb2325f530acf9f5,"Created integration methods, added trapezoidal and romberg integration.

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@14 c8979423-a768-6f17-17f2-fb57d64bf5d2","Created integration methods, added trapezoidal and romberg integration.",71,0,1,1,0,0,0,1,2,0,0,-1,0.22,-1,1,81,0,neutral,,
214,https://github.com/EdwardRaff/JSAT/commit/fbc9db02734003d362cad0f5ebcea264a2314ba7,"added default max iterations method for romberg

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@15 c8979423-a768-6f17-17f2-fb57d64bf5d2",added default max iterations method for romberg,47,1,1,0,1,0,0,1,1,1,0,0,1,-1,1,5,0,good,,
215,https://github.com/EdwardRaff/JSAT/commit/d27680134d25df76779803bbd58292ab150e452f,"Intial work with incomplete and regularized gamma functions

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@16 c8979423-a768-6f17-17f2-fb57d64bf5d2",Intial work with incomplete and regularized gamma functions,59,0,1,1,1,0,0,0,5,5,0,0,0.17,1,1,526,53,bad,,
216,https://github.com/EdwardRaff/JSAT/commit/199648bcda6a22ee0eb5bc8dd0f2b4f32646971e,"More work on gamma functions, now a functional complete set that is accurate to full precision for most common values.

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@17 c8979423-a768-6f17-17f2-fb57d64bf5d2","More work on gamma functions, now a functional complete set that is accurate to full precision for most common values.",118,1,1,1,0,0,0,0,2,8,0,0,1,1,1,83,23,bad,,
217,https://github.com/EdwardRaff/JSAT/commit/4b1df966704843ace82a6bde59af47793afd0563,"Adding some java docs


git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@18 c8979423-a768-6f17-17f2-fb57d64bf5d2",Adding some java docs,21,1,1,1,1,0,0,1,2,8,0,0,0.57,1,1,78,11,neutral,,
218,https://github.com/EdwardRaff/JSAT/commit/d03157e4613d4c03be7946c481c093440e356486,"Added Gamma and Chi Squared (other than inverPdf, which may not be possible for all distirbutions...)
Started StudentT, but needs regularized beta function first

small changes to DenseVector & Vector to simple do a little more that should have been done before

Added inverse function for GammaP

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@19 c8979423-a768-6f17-17f2-fb57d64bf5d2","Added Gamma and Chi Squared (other than inverPdf, which may not be possible for all distirbutions...)",101,0,0,1,1,0,0,1,7,5,0,0,0.81,0.98,0.81,438,13,bad,,
219,https://github.com/EdwardRaff/JSAT/commit/849c9987abd23ec147e58f4214739772de5ad21a,"Added regularized incomplete beta function

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@20 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added regularized incomplete beta function,42,1,1,1,1,0,0,1,2,5,0,0.2,0.5,0.62,0.62,92,15,neutral,,
220,https://github.com/EdwardRaff/JSAT/commit/1451dd4083924f9db12a2b4bc6a03eb3da8be12f,"Added root finding methods so that accurate (but slower) methods of obtaining an inverse function can be quickly made.
	added Bisection
	added Secant

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@21 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added root finding methods so that accurate (but slower) methods of obtaining an inverse function can be quickly made.,118,1,0,1,0,0,0,1,4,1,0,0,-1,-1,1,125,10,bad,,
221,https://github.com/EdwardRaff/JSAT/commit/43daf19ca64d3095e0911848adecd001b71074b2,"Root finding commit
	Fixed bug in bisection
	Added Zeroin (Brent's method)
	Added Riddlers method

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@22 c8979423-a768-6f17-17f2-fb57d64bf5d2",Root finding commit,19,1,0,1,1,1,0,0,5,3,0,0,-1,0.02,-1,208,7,bad,,
222,https://github.com/EdwardRaff/JSAT/commit/e021457f701e7a8be1a40c93f8185e72b2f48565,"Added inverse incomplete beta function using root finding method

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@23 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added inverse incomplete beta function using root finding method,64,1,1,1,1,0,0,1,2,3,0,0,1,0.4,1,30,4,good,,
223,https://github.com/EdwardRaff/JSAT/commit/ac977f5254673d64b96b2c0638de8c5de39232fc,"Implemented Student's T distribution


git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@24 c8979423-a768-6f17-17f2-fb57d64bf5d2",Implemented Student's T distribution,36,1,1,1,1,0,0,0,3,17,0,0,1,1,0.44,65,20,neutral,,
224,https://github.com/EdwardRaff/JSAT/commit/cc8849acbde0aca87d6a25586e2c5bb395d84c58,"Implemented Weibull distribution
	Missing 1 part, I couldent find or deduce a way to estimate the parameters of the distribution from a data set

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@25 c8979423-a768-6f17-17f2-fb57d64bf5d2",Implemented Weibull distribution,32,1,0,1,1,0,0,1,1,0,0,-1,1,1,1,120,0,good,,
225,https://github.com/EdwardRaff/JSAT/commit/140411550f632fbd7acf4e8ddb088e49ba98d311,"Added F distribtution
Exposed lnBeta to the public

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@26 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added F distribtution,21,1,0,1,1,0,0,1,3,2,0,0.5,0.78,1,1,142,2,bad,,
226,https://github.com/EdwardRaff/JSAT/commit/e00f6b98f172cb409f32994ba6f7b2d4579602ff,"added inver x log x method to special math

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@27 c8979423-a768-6f17-17f2-fb57d64bf5d2",added inver x log x method to special math,42,1,1,0,1,0,0,1,1,1,0,0,-1,1,-1,26,0,good,,
227,https://github.com/EdwardRaff/JSAT/commit/1e6e475a19073b8b84b67b3a2657d66476a180f2,"Added Kolmogorov distribution, but only CDF. PDF is not really used, and InvCDF is confusing....

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@28 c8979423-a768-6f17-17f2-fb57d64bf5d2","Added Kolmogorov distribution, but only CDF. PDF is not really used, and InvCDF is confusing....",96,0,1,1,0,0,0,1,1,0,0,-1,0.7,1,0.7,119,0,bad,,
228,https://github.com/EdwardRaff/JSAT/commit/6b0bec9917629d1c1d954688448b09a6c8d60d2b,"Removed invPDF requirement from ContinousDistribution. Added mean, median, mode, variance, and standard deviation
Implemented new added functions for Continous Distribution for (most) all current distributions

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@29 c8979423-a768-6f17-17f2-fb57d64bf5d2","Removed invPDF requirement from ContinousDistribution. Added mean, median, mode, variance, and standard deviation",113,0,0,1,1,0,0,1,9,41,0,0.78,1,1,1,227,38,bad,,
229,https://github.com/EdwardRaff/JSAT/commit/c838a2767618aec2d359161e239ac78f1185c6c6,"Fixed up Vec, and modified Dense Vector, and created a Sparce counter part.

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@30 c8979423-a768-6f17-17f2-fb57d64bf5d2","Fixed up Vec, and modified Dense Vector, and created a Sparce counter part.",75,0,1,1,0,0,0,1,4,25,0,0,0.46,1,0.54,506,87,bad,,
230,https://github.com/EdwardRaff/JSAT/commit/e42acc6b1bba9cb6266d55dd6cba7c535b3ab309,"Renamed some distributions for consistency

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@31 c8979423-a768-6f17-17f2-fb57d64bf5d2",Renamed some distributions for consistency,42,1,1,1,1,0,0,1,8,6,0,0,-1,-1,-1,24,24,neutral,,
231,https://github.com/EdwardRaff/JSAT/commit/de703faacaaf23f80ce30a7d69602315d04f6a12,"Clean up in Kolmogorov, removing some of the Unsupported Operation exceptions


git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@32 c8979423-a768-6f17-17f2-fb57d64bf5d2","Clean up in Kolmogorov, removing some of the Unsupported Operation exceptions",77,1,1,1,1,1,0,1,1,6,0,0,-1,-1,-1,6,6,bad,,
232,https://github.com/EdwardRaff/JSAT/commit/2d571e59d51c6e9eba2269c1e09ce6e62dd8e8d6,"Added Text package & Stemming

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@33 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Text package & Stemming,29,1,1,1,1,0,0,1,2,0,0,-1,0.1,0.9,0.1,331,0,bad,,
233,https://github.com/EdwardRaff/JSAT/commit/35f9e6c5749d0f6ebc2205aea1b975e9a70dde5c,"Added void stemmer

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@34 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added void stemmer,18,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,16,0,good,,
234,https://github.com/EdwardRaff/JSAT/commit/306e5bd757fa1c894231904fe7f18f56bde48255,"Added an Online statistics object (mean, variance, skew, kurtois)

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@35 c8979423-a768-6f17-17f2-fb57d64bf5d2","Added an Online statistics object (mean, variance, skew, kurtois)",65,1,1,1,1,0,0,1,1,0,0,-1,1,0.74,1,91,0,good,,
235,https://github.com/EdwardRaff/JSAT/commit/dc83d840f49bdda1f2ca6b853e9ab5eb2c639732,"added Skewness and Kurtois to Vector

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@36 c8979423-a768-6f17-17f2-fb57d64bf5d2",added Skewness and Kurtois to Vector,36,0,1,0,1,0,0,1,3,4,0,0,1,1,1,57,0,neutral,,
236,https://github.com/EdwardRaff/JSAT/commit/f12019efceef0f5b4881f69e91fe48dd7b060710,"Updated skewness calculations to use an unbiased estimate when the sample is large enough (>2)

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@37 c8979423-a768-6f17-17f2-fb57d64bf5d2",Updated skewness calculations to use an unbiased estimate when the sample is large enough (>2),94,1,1,1,1,0,0,1,2,2,0,1,1,1,1,12,2,bad,,
237,https://github.com/EdwardRaff/JSAT/commit/3b03630d95b45bffba8b223d1aec0497ce62ec84,"Minor bug fix to satisfy the compiler

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@38 c8979423-a768-6f17-17f2-fb57d64bf5d2",Minor bug fix to satisfy the compiler,37,1,1,1,1,1,0,1,2,2,0,0,-1,-1,-1,3,2,good,,
238,https://github.com/EdwardRaff/JSAT/commit/59d9e95279670418f50c38b8531af8ddd8ec9ddc,"Intitial foundation for implementing classifiers


git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@39 c8979423-a768-6f17-17f2-fb57d64bf5d2",Intitial foundation for implementing classifiers,48,1,1,1,1,0,0,1,5,0,0,-1,1,0.65,1,182,0,good,,
239,https://github.com/EdwardRaff/JSAT/commit/6879942691ff3cdd6f6d1249b6e088630cc1aa49,"Added parameter approximation for the Weilbull distribution.
Also commiting some files that had to be changed b/c of method changes - they forgot to be added.

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@40 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added parameter approximation for the Weilbull distribution.,60,1,0,1,0,0,0,1,4,7,0,0,-1,1,1,88,6,bad,,
240,https://github.com/EdwardRaff/JSAT/commit/58b6f5f3260d9c7c14fea75e2e32028d84d026b9,"Added Skewness to ContinousDistribution

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@41 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Skewness to ContinousDistribution,39,1,1,1,1,0,0,1,9,8,0,0,1,1,1,58,1,neutral,,
241,https://github.com/EdwardRaff/JSAT/commit/abdbb46dbaf26eccba90fa7fd4c0a29fc7fc810f,"Updated skewness for student T and added documentation for skewness and variance.

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@42 c8979423-a768-6f17-17f2-fb57d64bf5d2",Updated skewness for student T and added documentation for skewness and variance.,81,0,1,1,0,0,0,1,2,1,0,1,1,1,1,20,0,bad,,
242,https://github.com/EdwardRaff/JSAT/commit/c3edff0c6c9079f4afbeee2c069c26f2e1c2b8c9,"Improved ridder's method to keep it out of infinit loops
Used root finding to implement an inverse CDF for Kolmogorov

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@43 c8979423-a768-6f17-17f2-fb57d64bf5d2",Improved ridder's method to keep it out of infinit loops,56,1,0,1,1,0,0,1,3,5,0,0.2,0.35,0.59,0.47,33,6,neutral,,
243,https://github.com/EdwardRaff/JSAT/commit/e589776dc84e509a5bd999ad12d6717eaadec115,"Added KS goodness of fit testing.

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@44 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added KS goodness of fit testing.,33,1,1,1,0,0,0,1,1,0,0,-1,1,1,1,146,0,neutral,,
244,https://github.com/EdwardRaff/JSAT/commit/4cf10079da302e3c184293d01e1064c3e9629627,"Added KS goodness of fit search to MainGUI.
Fixed bug in Weibull setUsingData, the parameters were set in the wrong order
Fixed bug in KSTest where it would not respect the minimum value of the CDF for distributions


git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@45 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added KS goodness of fit search to MainGUI.,43,1,0,1,0,0,0,1,5,24,0,0.08,0.88,1,0.25,184,68,bad,,
245,https://github.com/EdwardRaff/JSAT/commit/08c5bbe057bac302124e80639efb222d5a1bd5a1,"Removed a debug print out

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@46 c8979423-a768-6f17-17f2-fb57d64bf5d2",Removed a debug print out,25,1,1,1,1,0,0,1,1,1,0,0,1,-1,1,0,2,good,,
246,https://github.com/EdwardRaff/JSAT/commit/98fd61a2175b60b4fe7aaa7711c2d2da6fbffd4f,"Fixed another bug in KS test with range checking the distribution

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@47 c8979423-a768-6f17-17f2-fb57d64bf5d2",Fixed another bug in KS test with range checking the distribution,65,1,1,1,1,0,0,1,1,1,0,0,-1,1,1,5,1,neutral,,
247,https://github.com/EdwardRaff/JSAT/commit/7cbf0f82e155259ab0f7b098a3070e7a7252ca89,"Added Beta distribution

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@48 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Beta distribution,23,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,140,0,good,,
248,https://github.com/EdwardRaff/JSAT/commit/4cd5a98b55ad2307f5ffba4b7e2134c90e78b5e7,"Updated KS test to display a message when no distribution is found to be a suitable match

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@49 c8979423-a768-6f17-17f2-fb57d64bf5d2",Updated KS test to display a message when no distribution is found to be a suitable match,89,1,1,1,1,0,0,1,1,1,0,0,-1,1,-1,16,4,bad,1,
249,https://github.com/EdwardRaff/JSAT/commit/c84e7f65e01fc9d7dbbc689b7bf9567faff0868d,"Added Uniform distribution (Continuos)

git-svn-id: https://java-statistical-analysis-tool.googlecode.com/svn/trunk@50 c8979423-a768-6f17-17f2-fb57d64bf5d2",Added Uniform distribution (Continuos),38,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,139,0,good,,
